slug,name,family,regime,n,far,coverage,h_mean,h_max,h_cv,grain,slender,concentration
dapuqiao,打浦桥街道,居民/里弄+田子坊,developer_scale_graded,1370,3.770479280463669,0.35291465871257655,33.69875684428224,176.14076633333357,0.696313551204047,252.48408755696624,1.621639865727809,0.4025800676350181
dapuqiao,打浦桥街道,居民/里弄+田子坊,shared,1370,2.3604399865797214,0.1885470204649781,43.83209857005676,88.83132738888887,0.2789002195984596,140.9863853881385,3.5895070631821033,0.29528669628775767
kongjiang,控江路街道,单位/工人新村,current,1610,1.806359942385891,0.2696716992001928,22.800880577639752,90.45029966666682,0.6002386242607687,296.4162484632029,1.062885338680537,0.23776440572526117
kongjiang,控江路街道,单位/工人新村,developer_led,1638,3.509694610108553,0.18621053966850845,86.7061426121286,361.8011986666673,0.6454313990137052,144.99049022449094,5.993135508160575,0.2558650500315891
kongjiang,控江路街道,单位/工人新村,state_led,1610,1.8131207750219807,0.2696716992001928,20.55272549498543,418.5647258758123,1.2330557482893687,296.4162484632029,0.8020319341061684,0.5074774048571515
kongjiang,控江路街道,单位/工人新村,resident_self_build,5878,0.8556259320465391,0.1890097259952444,14.930436658500623,56.58916633333333,0.20618794638741214,58.749038434153135,1.8869237716545624,0.24873754430038353
kongjiang,控江路街道,单位/工人新村,developer_scale_graded,1610,1.8544824662643768,0.27938071516522717,22.800880577639752,90.45029966666682,0.6002386242607687,302.9929591069854,1.0561632676725905,0.23307351072686144
kongjiang,控江路街道,单位/工人新村,shared,1610,1.5563091991816107,0.1700478208253263,31.940717875886836,66.24564388888899,0.22413169636673222,181.8154973558481,2.2926517076167263,0.23804331120729436
laoximen,老西门街道,居民/里弄石库门,current,1581,2.651196152917224,0.3582669489475896,22.83230333523087,104.90536633333352,0.7937979975473491,183.70717627562442,1.2096235520020546,0.21702746092716685
laoximen,老西门街道,居民/里弄石库门,developer_led,1599,5.677799962192872,0.31954498621329924,78.28435254659163,419.6214653333341,0.8773165884505425,98.83982172231606,5.9092220975379695,0.22922726122948914
laoximen,老西门街道,居民/里弄石库门,state_led,1581,2.7278700227373913,0.3582669489475896,22.550604982876422,361.3122348999734,1.8672721756197952,183.70717627562442,0.6329372088351554,0.464846031021134
laoximen,老西门街道,居民/里弄石库门,resident_self_build,4216,1.4071683584247843,0.26979334028534785,15.49595247185326,98.27669966666681,0.4182503283874796,59.26710416342351,1.8587732220178714,0.20879243456385138
laoximen,老西门街道,居民/里弄石库门,developer_scale_graded,1581,3.145442340273276,0.3986053270872999,22.83230333523087,104.90536633333352,0.7937979975473491,191.23482267986046,1.1907349561238298,0.23795581189805218
laoximen,老西门街道,居民/里弄石库门,shared,1581,1.9262901539574397,0.2359604382215479,27.206123331056297,77.56783300000004,0.33905402751562747,116.99424471711502,2.3078855598598933,0.20406047444588019
lujiazui,陆家嘴街道,资本/超高层,current,3263,2.2139394635269616,0.17220246718754237,33.42899031944019,338.0522329999999,1.0017037068065306,225.83994974760506,1.4014845465151748,0.2812437638708686
lujiazui,陆家嘴街道,资本/超高层,developer_led,3409,4.16870888941337,0.17093879095959033,119.74575586584531,480.0,1.0067733891887465,151.8347429702568,6.916845409187895,0.2656620874828264
lujiazui,陆家嘴街道,资本/超高层,state_led,3263,2.2236943213849845,0.17220246718754237,34.975349921192,529.1362369028033,1.527350927003473,225.83994974760506,1.0950522550901658,0.5026637546244143
lujiazui,陆家嘴街道,资本/超高层,resident_self_build,11182,0.7100865728759652,0.12879746054676394,15.943186296464557,142.47289966666665,0.45752977595963296,62.257616496552394,1.8586275912151717,0.2578785870986067
