stakeholder,height_m,area_m2,euluc,function
developer,38.89643300000005,26.709531247500635,商务办公用地,Business
resident,17.12076633333333,471.50290759256734,居住用地,Residence
resident,19.53409966666668,499.043858711716,居住用地,Residence
resident,21.877832999999995,595.8976059433273,居住用地,Residence
resident,18.89669966666666,398.9421307265705,居住用地,Residence
resident,17.796099666666702,386.62945818091373,居住用地,Residence
resident,15.99109966666666,384.60615546858037,居住用地,Residence
resident,18.335499666666696,858.2150727798243,居住用地,Residence
developer,12.418232999999995,44.086495894162105,商务办公用地,
developer,12.418232999999995,44.086495894162105,商务办公用地,
developer,14.888766333333312,326.03457561009486,商务办公用地,
resident,11.172766333333332,318.63584599820666,居住用地,
resident,16.803499666666667,314.48877257776235,居住用地,Residence
resident,17.428166333333333,288.1558244654653,居住用地,Residence
resident,15.873166333333309,347.82963805878535,居住用地,Residence
resident,15.723232999999988,325.9482104107955,居住用地,Residence
resident,16.397499666666665,271.2099971965031,居住用地,Residence
resident,16.182832999999988,514.3728763305625,居住用地,Residence
resident,16.507766333333304,508.4422569234468,居住用地,Residence
resident,15.91063300000001,148.13137418232577,居住用地,
resident,15.980366333333334,1519.0288928973082,居住用地,
resident,15.65496633333335,595.2380137782734,居住用地,
resident,17.267499666666694,398.28776009032435,居住用地,Residence
resident,18.203232999999997,317.15917882306496,居住用地,Residence
resident,13.470699666666665,106.24768269179864,居住用地,
resident,15.567966333333306,225.04071458364396,居住用地,
resident,17.908233000000003,350.58054632082815,居住用地,Residence
resident,21.888299666666658,353.5103766973085,居住用地,Residence
resident,11.968366333333336,24.464151281073324,居住用地,
resident,14.70423299999998,544.2041166552394,居住用地,Residence
resident,21.090566333333324,800.1699280271358,居住用地,Residence
resident,18.793499666666673,630.9008588178299,居住用地,Residence
resident,15.190499666666694,409.43864322112705,居住用地,Residence
resident,19.227166333333333,639.6507756698367,居住用地,Residence
resident,20.62749966666668,588.0087806901538,居住用地,Residence
resident,19.850499666666654,31.875266814351015,居住用地,
resident,19.850499666666654,31.875266814351015,居住用地,
resident,16.50709966666669,489.86186541305074,居住用地,Residence
resident,16.84596633333333,420.29191454509765,居住用地,Residence
resident,14.994899666666642,280.4291893479158,居住用地,
resident,16.437033,337.7376418235565,居住用地,
resident,18.58349966666666,468.7131428907654,居住用地,Residence
resident,19.13216633333333,389.1950295121661,居住用地,
resident,18.971366333333332,558.1843338877843,居住用地,
resident,12.544833000000002,108.73620964588382,居住用地,Residence
resident,17.30236633333336,516.6596241347984,居住用地,Residence
resident,19.65149966666666,513.9077222460303,居住用地,Residence
resident,38.074833000000005,53.113554716093,居住用地,Residence
resident,16.295632999999995,370.3843328497566,居住用地,
resident,16.944433000000025,619.5747860095759,居住用地,Residence
resident,12.981566333333332,82.27208345452784,居住用地,
resident,38.98669966666667,406.1160042249201,居住用地,Residence
resident,25.657499666666677,39.55422624697806,居住用地,Residence
resident,37.086833000000006,301.5746187545919,居住用地,Residence
resident,15.83576633333333,391.07312466141775,居住用地,Residence
resident,21.961633,27.367782007828737,居住用地,
resident,21.961633,27.367782007828737,居住用地,
resident,15.509099666666684,486.86901205051936,居住用地,Residence
resident,45.80769966666665,558.715175076641,居住用地,Residence
resident,16.45216633333333,72.1254857591068,居住用地,
resident,49.294499666666724,51.837687307881026,居住用地,Residence
resident,30.362766333333337,108.21750520654969,居住用地,
resident,15.004099666666669,391.00166879317374,居住用地,Residence
resident,16.985833000000003,789.142641211143,居住用地,Residence
resident,19.305833,520.7295624182594,居住用地,
resident,65.46563299999997,139.97326848117004,居住用地,
resident,44.55209966666667,944.8999936526413,居住用地,Residence
resident,71.43596633333347,170.23727826217055,居住用地,
resident,66.93336633333342,207.50073820917396,居住用地,
resident,70.53503300000008,162.34944953862885,居住用地,
resident,68.06596633333336,143.36306376564715,居住用地,
state,22.57049966666668,858.7592081673715,教育科研用地,Public service
state,19.809566333333326,285.10311089383174,教育科研用地,
state,15.309499666666664,1162.6824219529365,教育科研用地,Public service
resident,18.569832999999996,382.9971482258317,居住用地,Residence
resident,13.804166333333333,351.13435685964384,居住用地,
resident,22.31056633333333,327.39424161219847,居住用地,Residence
resident,16.430699666666673,352.2385095556609,居住用地,Residence
resident,19.700033000000005,353.9563319111586,居住用地,Residence
resident,15.625632999999985,387.7396841102546,居住用地,Residence
resident,23.88303299999999,394.32458556319926,居住用地,Residence
resident,15.497899666666662,462.21706249123395,居住用地,Residence
resident,17.075433000000004,478.8686532175844,居住用地,Residence
state,16.52349966666667,81.79831325579421,教育科研用地,
resident,40.71329966666672,405.1212385510777,居住用地,
resident,44.35276633333332,21.974556523024628,居住用地,Residence
resident,50.757499666666654,404.3261380616422,居住用地,
resident,46.38349966666674,405.19311561770434,居住用地,Residence
resident,52.22469966666668,51.914102849877196,居住用地,
resident,44.88596633333343,406.29468282666016,居住用地,Residence
state,17.78396633333336,579.6631594076099,教育科研用地,
state,13.734966333333332,215.92381362187584,教育科研用地,
state,13.279166333333356,18.807990156878986,教育科研用地,Public service
state,14.728033000000025,199.31524948914512,教育科研用地,
state,11.194633,183.67689325983395,教育科研用地,
state,22.284766333333334,345.27717685414177,教育科研用地,Public service
state,21.239833,1100.7224466946707,教育科研用地,Public service
state,23.206499666666666,93.11636229120285,教育科研用地,Public service
state,22.632299666666672,92.97006909867088,教育科研用地,
state,13.656366333333336,137.41725941859974,教育科研用地,
state,10.530766333333332,200.39794294599648,教育科研用地,
resident,23.836166333333303,30.30076030683232,居住用地,
resident,17.90616633333333,104.86528154529677,居住用地,Residence
resident,16.21569966666668,136.90182117964414,居住用地,Residence
resident,23.801232999999964,38.51115138236742,居住用地,Residence
resident,21.83623299999998,232.96741144621387,居住用地,Residence
developer,39.55976633333341,43.2239498840834,商务办公用地,Residence
resident,19.10109966666665,908.5615018846784,居住用地,Residence
developer,44.14156633333326,45.45798787979929,商务办公用地,Business
developer,40.09823300000001,394.01043064406207,商务办公用地,
developer,26.80336633333337,916.4358464957431,商务办公用地,Business
resident,61.76096633333337,70.08825925989727,居住用地,
resident,60.26136633333338,76.23816456219191,居住用地,
resident,62.794433000000055,69.06248598729317,居住用地,Residence
resident,58.15909966666673,70.95055407241585,居住用地,Residence
resident,50.14256633333336,75.2488090710004,居住用地,Residence
resident,15.44616633333331,490.0053069494293,居住用地,
resident,17.713232999999974,1365.131892020099,居住用地,
resident,9.657433,296.40303446086045,居住用地,
resident,7.630233000000006,48.7586736422726,居住用地,
resident,12.109966333333334,375.3290879058469,居住用地,Residence
developer,21.35916633333333,42.41749560015429,商务办公用地,
developer,40.42949966666675,41.83696966969367,商务办公用地,Business
developer,41.58589966666659,29.56539488617262,商务办公用地,
developer,40.6623663333334,31.707381093127573,商务办公用地,Business
resident,72.3792996666666,388.2150049152816,居住用地,
resident,67.95369966666665,169.90739898474303,居住用地,
developer,34.474899666666666,109.86965784100174,商务办公用地,Business
developer,39.85156633333335,17.579155493578718,商务办公用地,
developer,43.48269966666667,19.776569048141678,商务办公用地,
developer,40.21949966666666,79.10631938791256,商务办公用地,
resident,26.44776633333333,858.1007503344284,居住用地,Residence
developer,16.37509966666666,129.21117651558825,商务办公用地,
developer,18.008432999999993,723.4842579678533,商务办公用地,
resident,12.646232999999985,155.2077575270831,居住用地,Business
resident,9.998299666666668,74.06033779200949,居住用地,
resident,10.582432999999996,177.6721448967533,居住用地,
resident,13.254833,154.04089342651537,居住用地,Residence
resident,19.31636633333333,776.267669501244,居住用地,Business
resident,14.780366333333331,217.12802502073154,居住用地,Business
resident,19.96616633333333,351.7484957187219,居住用地,Residence
developer,44.67076633333336,287.034370868977,商务办公用地,
developer,26.29796633333337,1043.441059330555,商务办公用地,Business
resident,11.969833000000005,534.6843539107948,居住用地,
developer,28.642099666666706,36.12454729387062,商务办公用地,
resident,24.47736633333333,40.36395839586358,居住用地,Residence
resident,24.47736633333333,40.36395839586358,居住用地,Residence
resident,10.151766333333347,163.74335253409862,居住用地,
resident,21.23336633333333,1097.6839840408359,居住用地,
resident,14.83789966666664,224.16087511283445,居住用地,
resident,13.684899666666688,71.4856799954484,居住用地,Residence
developer,28.478899666666667,323.0177722897357,商务办公用地,
developer,45.626299666666654,105.47509216519555,商务办公用地,Business
developer,29.393433,1395.3455202352902,商务办公用地,Business
developer,50.92549966666665,61.527171684116475,商务办公用地,
developer,30.805833000000003,178.55601223181918,商务办公用地,
developer,43.77789966666668,98.88305422135711,商务办公用地,
developer,50.80216633333334,303.5413615947674,商务办公用地,Business
developer,30.94969966666667,112.54512409567278,商务办公用地,Business
developer,29.07489966666667,404.9577456396538,商务办公用地,
developer,60.50196633333332,200.85426121264314,商务办公用地,
resident,17.863633000000004,201.63575562780477,居住用地,Residence
resident,13.891432999999989,231.71044914319623,居住用地,
resident,14.425833,256.68836062743463,居住用地,
resident,16.98923299999999,239.2764975592634,居住用地,Business
resident,24.86409966666666,712.5138012310965,居住用地,Residence
resident,27.784899666666668,712.9976619391497,居住用地,Residence
resident,17.176632999999995,549.9209184730192,居住用地,Residence
resident,20.682099666666666,571.0158014584417,居住用地,
resident,16.4500996666667,893.1813708052623,居住用地,Residence
resident,7.364499666666677,86.96464831656783,居住用地,
resident,8.181299666666675,56.707704483888776,居住用地,Residence
resident,13.112299666666672,57.583507676652346,居住用地,
state,29.87549966666665,1450.277086768759,医疗卫生用地,Residence
resident,11.635566333333331,490.4036174876766,居住用地,
state,19.847833,464.23386209553246,医疗卫生用地,Residence
state,10.65989966666666,257.0174085983217,医疗卫生用地,Residence
state,14.552833000000025,306.5128628382561,医疗卫生用地,
state,14.02989966666666,27.160536539092274,医疗卫生用地,
state,18.58103300000003,392.50495484608456,医疗卫生用地,
state,13.776099666666678,322.3749630416627,医疗卫生用地,Residence
state,43.59483299999998,79.10618971430326,医疗卫生用地,
state,49.74249966666668,21.973934739598953,医疗卫生用地,Residence
state,43.185766333333326,448.2690917821446,医疗卫生用地,Residence
state,46.52523299999999,316.4250481695107,医疗卫生用地,Residence
state,12.565766333333318,328.80680590895804,医疗卫生用地,
state,12.981966333333318,99.39272071846962,医疗卫生用地,
state,12.029233000000005,62.84218475705566,医疗卫生用地,
state,9.162032999999996,67.47156430048122,医疗卫生用地,
state,45.1326996666666,672.399618070424,医疗卫生用地,Public service
state,27.08843299999999,177.18490029519882,医疗卫生用地,
resident,17.941299666666676,838.8304953895329,居住用地,Residence
resident,18.581833000000007,401.5179605079599,居住用地,
resident,17.621632999999992,641.5565563754119,居住用地,
resident,16.052833000000035,428.293920874543,居住用地,Residence
state,17.47543300000001,639.5616017579789,医疗卫生用地,Residence
state,15.79256633333333,154.29670821903426,教育科研用地,
state,17.305766333333327,155.5022805312425,教育科研用地,
state,11.659632999999982,193.73963318104086,医疗卫生用地,Residence
state,17.19256633333333,231.37604276421706,教育科研用地,
state,15.75169966666666,154.64771799676197,教育科研用地,
resident,15.689566333333344,62.168455001215335,居住用地,
resident,20.308032999999973,232.2281038763861,居住用地,
resident,38.505233,22.335963893396276,居住用地,
resident,18.103299666666658,300.5740282762785,居住用地,Residence
resident,14.485166333333357,352.0006988047262,居住用地,
resident,13.898233000000005,367.3814500136205,居住用地,
resident,10.987499666666672,363.94328783182107,居住用地,
resident,9.36676633333333,446.54652596016086,居住用地,
state,19.350566333333333,114.26235581562287,公园与绿地用地,Residence
resident,9.620499666666651,397.9690209508931,居住用地,
resident,10.566366333333336,289.4917239548598,居住用地,Residence
resident,8.77656633333333,195.71348796721793,居住用地,
resident,16.002366333333324,53.835063832232635,居住用地,
resident,8.691566333333336,68.6191311833533,居住用地,Residence
resident,11.943499666666677,367.1537227391997,居住用地,
resident,12.324966333333332,19.77639527722573,居住用地,
resident,9.182899666666666,313.13661259143316,居住用地,
resident,9.343632999999985,250.27287296903657,居住用地,
resident,9.612566333333337,183.4815988919706,居住用地,
resident,10.789899666666669,346.60104055461215,居住用地,
resident,10.873966333333328,376.54698873570754,居住用地,Residence
resident,12.190233000000017,420.8709233743752,居住用地,Residence
resident,10.106233000000005,139.6731026534662,居住用地,
resident,22.83756633333333,388.2937398068495,居住用地,
resident,17.181566333333336,452.7548335620467,居住用地,
resident,16.232233,446.46703405362234,居住用地,
resident,15.318899666666663,302.75138330906583,居住用地,Residence
resident,14.856899666666664,448.7652553256375,居住用地,Residence
resident,23.490899666666657,487.1511253557566,居住用地,
resident,12.492233000000002,511.6496081278851,居住用地,Public service
state,19.458899666666653,434.6044148312071,公园与绿地用地,
state,16.822566333333334,330.54029262205825,公园与绿地用地,Residence
state,24.4833663333333,317.5454765188106,公园与绿地用地,
state,10.060499666666674,193.0429481112614,公园与绿地用地,
state,21.447433,257.6838739321942,公园与绿地用地,
state,25.249766333333334,65.92033826457504,公园与绿地用地,
state,8.628833000000002,153.28695485352878,公园与绿地用地,Residence
state,12.042833000000003,64.2411118812934,公园与绿地用地,
state,9.655499666666675,103.43322151032945,公园与绿地用地,
state,10.17649966666666,247.54633546093274,公园与绿地用地,Residence
resident,9.008432999999998,236.75586201570576,居住用地,Residence
resident,13.783766333333338,411.21677211173983,居住用地,Residence
state,8.365232999999998,180.064742415534,公园与绿地用地,
resident,23.644433000000014,507.0724134739135,居住用地,Residence
state,8.649833000000006,67.78197237861215,公园与绿地用地,
resident,15.740166333333324,428.76450059026365,居住用地,
state,7.835366333333337,65.63793962322785,公园与绿地用地,
resident,13.926566333333332,203.8155203208929,居住用地,
state,9.657032999999988,85.42421974651006,公园与绿地用地,
resident,11.674832999999998,303.3616099359912,居住用地,
resident,12.178433000000004,487.8163711418475,居住用地,Residence
resident,8.706699666666669,314.17005823913195,居住用地,
resident,9.750966333333354,316.6748958196493,居住用地,Residence
resident,9.497233000000003,484.70051971385533,居住用地,Residence
resident,24.115433000000028,359.8853690788141,居住用地,
resident,9.512566333333329,489.7620083806233,居住用地,
resident,15.630766333333334,314.6614077525738,居住用地,Residence
resident,11.633099666666666,205.12831871284448,居住用地,
resident,13.658633000000025,292.2167446267408,居住用地,Residence
resident,10.188366333333338,135.6056046009902,居住用地,
resident,9.87609966666667,29.656495920939665,居住用地,
state,41.04836633333333,621.9644645961172,公园与绿地用地,
state,34.926433,201.10922984964958,公园与绿地用地,Residence
state,32.34596633333333,155.18016493691732,公园与绿地用地,
resident,15.228832999999998,164.31192022303836,居住用地,
state,25.824166333333288,122.12379503389417,公园与绿地用地,Residence
resident,10.632099666666669,166.53559424841086,居住用地,
resident,17.457099666666664,471.0774939764531,居住用地,
resident,23.123099666666704,652.7900597709469,居住用地,
resident,11.45289966666667,32.98175451627231,居住用地,
resident,12.580832999999998,211.11185353606734,居住用地,
resident,12.950899666666665,375.71369313269946,居住用地,
resident,13.889699666666669,76.901094953341,居住用地,
resident,10.422832999999992,42.73844113488054,居住用地,
resident,11.669033,146.78633219689246,居住用地,
resident,16.118232999999993,130.4057690714173,居住用地,
resident,9.554032999999999,43.05075862065345,居住用地,Residence
resident,9.298433000000005,89.4508191477858,居住用地,
resident,15.862233,427.1896563081129,居住用地,
resident,14.624899666666666,204.078239099285,居住用地,
resident,16.221232999999998,562.7814139253124,居住用地,Residence
resident,11.858433,66.66223034942772,居住用地,
resident,6.691899666666658,35.747918590494784,居住用地,
resident,15.998366333333331,177.6535959431825,居住用地,Residence
resident,16.25909966666666,180.94266798844447,居住用地,
resident,19.396966333333364,45.70957933856566,居住用地,Residence
resident,18.981966333333332,68.310560958179,居住用地,Residence
resident,22.27536633333333,45.061999941487244,居住用地,
resident,14.291433,627.0967198815399,居住用地,Residence
resident,23.44576633333333,329.6396715542087,居住用地,
resident,10.097299666666665,124.15466366990616,居住用地,
resident,11.130566333333336,38.15646248131725,居住用地,
resident,11.130566333333336,38.15646248131725,居住用地,
resident,20.05749966666667,45.62433706116512,居住用地,
resident,19.030233,487.2399160936987,居住用地,Residence
resident,13.39356633333334,121.72188168195413,居住用地,Residence
resident,16.016832999999988,273.9437203631923,居住用地,Residence
resident,14.350432999999976,63.81495269241472,居住用地,
resident,17.204432999999998,55.72078143486833,居住用地,
resident,12.495232999999985,45.68786508107408,居住用地,
resident,42.84356633333335,95.50346655913359,居住用地,
resident,14.429833000000023,279.20467695264654,居住用地,
state,28.580032999999982,945.3036223765038,教育科研用地,
resident,13.735632999999998,174.04164400052008,居住用地,
resident,12.613966333333336,157.6619318447892,居住用地,
resident,12.613966333333336,157.6619318447892,居住用地,
resident,16.25836633333333,675.621814289411,居住用地,Residence
state,14.645833,4882.814444675627,教育科研用地,Public service
state,8.532232999999998,152.91982106043204,教育科研用地,
state,11.107699666666669,157.01516333622595,教育科研用地,
state,7.846899666666671,187.2083702094913,教育科研用地,
state,13.645566333333331,605.2125884794314,教育科研用地,Residence
state,24.28223300000001,601.6719296674307,教育科研用地,
state,13.157433000000005,249.26333136208885,教育科研用地,Public service
state,16.648766333333338,44.71481196408715,教育科研用地,
state,23.925233,832.3117549011461,教育科研用地,
resident,16.519566333333334,348.85477424402904,居住用地,
resident,16.519566333333334,348.85477424402904,居住用地,
resident,14.606366333333334,412.34643421546343,居住用地,Residence
resident,17.54869966666667,15.915308672978151,居住用地,Residence
resident,16.35116633333334,19.625430556978984,居住用地,Residence
resident,17.03736633333334,350.1364250476114,居住用地,
resident,17.03736633333334,350.2477036925012,居住用地,
resident,17.619632999999993,426.55309535155607,居住用地,Residence
state,13.22796633333333,239.69424105534776,教育科研用地,
resident,11.897566333333334,125.25142958829706,居住用地,
resident,11.897566333333334,125.25142958829706,居住用地,
resident,12.849166333333326,496.77490540346366,居住用地,Residence
resident,16.45956633333333,496.4582795712366,居住用地,Residence
resident,21.153433000000007,25.95033567680804,居住用地,Residence
resident,15.266366333333334,25.436988412662288,居住用地,Residence
resident,16.181499666666667,347.1326282391552,居住用地,Residence
resident,16.418299666666666,469.72917529684617,居住用地,Residence
resident,16.260766333333336,25.839024761763106,居住用地,Residence
state,17.166366333333343,279.33051143709406,教育科研用地,
state,20.58956633333334,732.6214898835144,教育科研用地,Residence
state,14.238299666666666,281.6874980581277,教育科研用地,Public service
resident,16.122499666666677,508.962713749306,居住用地,Residence
resident,16.63643299999999,1211.3240541182324,居住用地,Office
resident,15.194232999999992,289.6173696777067,居住用地,Residence
resident,16.88216633333333,235.43166187809646,居住用地,Office
resident,16.683632999999997,446.7034707578406,居住用地,
resident,16.139299666666638,578.6058581763016,居住用地,Residence
resident,17.301099666666673,432.08722455795976,居住用地,Residence
resident,13.534233000000002,131.2082033075019,居住用地,
resident,16.463833000000026,556.7675044595707,居住用地,
resident,23.313299666666666,26.392577720028726,居住用地,Residence
resident,16.398366333333325,555.1651878068056,居住用地,
resident,19.140033000000003,26.376474613633967,居住用地,Residence
resident,18.567166333333333,17.75441223325515,居住用地,Residence
resident,12.925766333333328,161.30326686644875,居住用地,Residence
resident,15.622566333333337,199.3297487175539,居住用地,
resident,16.000499666666656,199.45318913384355,居住用地,Residence
resident,19.434633,198.34824321070028,居住用地,Residence
resident,17.633233000000004,448.2209993387017,居住用地,Residence
resident,17.387766333333342,419.6372220648479,居住用地,Residence
